id,gender_true,gender_pred,mbti_true,mbti_pred
103,male,male,INFJ,INTJ
133,female,male,INFJ,INFP
37,female,male,INFP,INTJ
90,female,male,ENFP,INTJ
141,male,male,ENTJ,INTJ
82,female,male,INTJ,INTJ
79,female,male,ESFJ,INTJ
91,female,male,ENFJ,INTJ
140,female,male,ESFJ,INTJ
139,male,male,ENTP,INTJ
134,male,male,ENTJ,INTJ
36,female,male,ESFJ,INTJ
118,female,male,ESFJ,ISTJ
7,female,male,INFJ,INTP
142,male,male,INFJ,INTJ
80,male,male,ENTJ,INTJ
56,male,male,INFP,INTJ
61,male,male,INTJ,INTJ
74,female,female,ESFJ,ISTJ
106,female,male,ISTJ,INTJ
12,female,male,ISFJ,ISTJ
72,male,male,INFJ,INTJ
13,female,male,ENFJ,INTJ
104,male,male,INTJ,INTJ
6,female,female,ESTP,INTP
48,female,male,ESFJ,ISTJ
100,female,male,ISFJ,INTJ
33,female,male,ISFP,INTJ
28,male,male,INTP,INTJ
8,male,male,INTJ,INTJ
20,female,male,ISTJ,INTJ
22,female,male,ESFJ,INTJ
130,female,male,ESFJ,INTJ
59,female,male,ESFJ,INTJ
55,female,male,INFP,INTJ
122,female,male,ESTJ,INTJ
108,male,male,ENTJ,INTJ
93,female,male,ISFJ,ISTJ
144,male,male,INTJ,INTJ
132,female,female,ISFJ,INTJ
131,female,male,ESTJ,INTJ
109,female,male,INTP,INTJ
111,male,male,ENFJ,INTJ
60,male,male,INTJ,INTJ
69,female,male,ESFJ,INTJ
42,female,male,ISTJ,INTJ
89,female,female,ENFJ,INFP
81,female,male,ENFJ,INTJ
52,female,male,ENFJ,INTJ
98,female,male,ENFP,INTJ
94,female,female,ESFJ,INFP
45,female,female,ISFJ,INTJ
105,female,male,INFJ,INTJ
11,female,male,ESFP,INTP
50,female,male,ENFJ,INTJ
68,male,male,INFP,INTJ
46,female,female,ENTJ,INTJ
66,female,male,ENFJ,INTP
145,female,female,ISFJ,INTJ
21,female,male,ENTJ,INTJ
64,female,male,ESFJ,INTJ
120,female,male,ISFJ,INTJ
44,female,male,INFJ,INTJ
27,male,male,INTJ,INTJ
14,female,male,ISFJ,INTJ
41,female,male,ENFJ,INTJ
136,female,male,ESFP,INTJ
99,female,female,ISFJ,INFP
40,female,male,INFJ,ISTJ
114,female,male,ENFJ,INTJ
88,female,male,ESFJ,INTJ
84,female,female,ENFP,INFP
138,female,male,ESFJ,INTJ
65,female,male,INFJ,INTP
26,male,female,ENFP,INTP
47,male,male,INTJ,INTJ
34,female,male,ESFP,INTJ
83,female,male,ISFJ,INTJ
38,female,male,ENFJ,INTJ
119,female,male,ISFJ,INTJ
57,female,male,ISFP,INTJ
49,female,male,ESFJ,ISTJ
125,female,male,ISFJ,INTJ
102,female,male,INFJ,INTJ
73,male,male,ISFJ,ISTJ
124,female,male,INTJ,INTJ
16,female,male,ISTJ,INTJ
35,female,male,ENTJ,INTJ
112,male,male,ENFJ,INTJ
143,male,male,ISFP,INTJ
97,female,male,INTJ,INTJ
2,female,male,ENFJ,INTJ
32,female,male,ESFP,ISTJ
77,male,male,INFJ,INTP
39,male,male,INTJ,INTJ
92,female,male,INFJ,INTJ
101,female,female,ESFJ,INTP
53,female,male,ISFJ,INTJ
96,female,male,ESFJ,INTJ
117,female,male,INFJ,INTJ
95,female,male,ESFJ,INTJ
18,female,male,ENFJ,INTJ
30,male,male,ISTJ,INTJ
9,female,male,ENFJ,INTJ
107,female,female,INTJ,INFP
126,female,female,ESFJ,INTJ
43,female,male,INTP,INTJ
15,male,male,ENFP,INTJ
113,male,male,ESFP,ISTJ
76,female,male,ISFJ,INTJ
54,male,female,INFJ,INFP
3,female,male,ESFJ,INTJ
128,female,male,ESFJ,INTJ
58,female,male,ISFP,ISTJ
115,male,male,ENFP,INFP
75,female,male,ESFJ,INTJ
85,female,male,ISTJ,INTJ
31,male,male,ISFJ,INTJ
1,female,male,ENFJ,INTJ
19,female,male,INFJ,INTJ
17,female,female,ENFJ,INFP
121,female,male,ESFJ,INTJ
123,female,male,ENFP,INTJ
10,male,male,INTJ,INTJ
51,female,male,ESFJ,INTJ
127,female,male,ISTJ,INTP
129,female,male,ENFJ,INTJ
63,female,male,ESTJ,INTJ
25,female,male,ENFP,INTP
4,female,male,ENFJ,INTJ
116,female,male,ENFP,INTJ
62,female,male,INTJ,INTJ
71,female,male,INTJ,INTJ
135,female,female,ENFJ,INTP
23,female,male,ESFP,INTJ
29,female,male,ISTJ,ISTJ
67,female,male,ESFJ,INTJ
70,female,male,ENFJ,INTP
78,female,male,ENFJ,INTJ
24,female,male,ESFJ,INTJ
87,female,male,ESFJ,INTJ
110,female,male,ESTJ,INTJ
137,female,male,ESFJ,INTJ
86,male,male,ENFJ,INTJ
5,male,male,ENTJ,INTJ
