type_true,type_pred
INFP,XXXX
INTJ,INTJ
INFP,XXXX
ENFP,INFJ
INFJ,INFJ
INTJ,INTJ
INFP,XXXX
INFJ,INFJ
INTP,INTJ
ISTP,XXXX
INTJ,XXXX
INFJ,INTJ
ENTP,XXXX
INTJ,XXXX
ENTJ,INTJ
INTJ,XXXX
INTJ,XXXX
ENTP,ENTJ
ISTP,INTJ
INFJ,INFJ
ENFJ,ENFJ
INTJ,INTJ
INFJ,INTJ
INTJ,XXXX
ENFJ,INTJ
ENTP,XXXX
ENTP,XXXX
ISTP,XXXX
INTP,XXXX
ENTJ,XXXX
INFJ,INFJ
INTP,INTJ
ENTP,ESTP
INTP,INTJ
INTP,INTP
INFP,XXXX
ISTP,XXXX
INFJ,INFJ
INFJ,INTJ
INTJ,XXXX
INFP,ISTJ
ENFP,INTJ
INFJ,XXXX
INFJ,ENFJ
ENFP,XXXX
ISTJ,ISTJ
INFJ,XXXX
INFP,XXXX
INTP,INTP
INTP,INTJ
INTJ,INTJ
INFJ,INTJ
INFP,INTJ
INFJ,XXXX
INFP,INTJ
ISFJ,INTJ
INFP,INTP
ENTJ,XXXX
INTJ,XXXX
INTP,XXXX
INFP,INFP
ISFJ,XXXX
ISFP,ISFP
INFJ,XXXX
INFJ,XXXX
ISFP,XXXX
INFJ,XXXX
INTP,INTP
INFJ,XXXX
ENTP,XXXX
INTJ,INTJ
ENFP,XXXX
ISTP,INTJ
INFP,XXXX
ESFP,XXXX
INTP,INTJ
INTJ,XXXX
ESFP,XXXX
INTJ,XXXX
INFP,XXXX
INTP,XXXX
INFP,XXXX
INFJ,INTJ
INFP,INFP
INFJ,XXXX
INTJ,XXXX
INTJ,INTJ
INTP,XXXX
ENFP,INTJ
ENTP,XXXX
INFJ,XXXX
INFJ,INFJ
INFP,INFJ
ENTJ,INFP
INFP,XXXX
INFJ,INTP
INFP,XXXX
ENFP,ENFP
ENFP,ENFP
INFP,XXXX
ENTJ,XXXX
INFJ,INFJ
ENTP,ENTP
INTP,XXXX
INFJ,XXXX
INTP,XXXX
INTP,XXXX
INFP,INTJ
INFP,XXXX
INFJ,XXXX
INTP,XXXX
INFP,XXXX
ISFP,INTJ
INFJ,INTJ
ENTP,INTP
INFJ,XXXX
ENFP,INTJ
INTP,INTP
INTJ,INTJ
INFP,INTJ
INTJ,INTJ
ENTP,INTJ
INFJ,INFJ
INFP,XXXX
INFP,INTJ
INFP,XXXX
ENFJ,ENFJ
ISTP,XXXX
INFP,XXXX
ISFJ,INFJ
INTJ,INTJ
ENFP,INFJ
INFP,INTJ
INFP,ENFP
INTP,INTJ
ENTJ,XXXX
INTJ,INTJ
INFP,XXXX
ENTJ,XXXX
ISFP,XXXX
INFJ,XXXX
ESTJ,XXXX
INTP,XXXX
INTJ,INTJ
ENTP,XXXX
INTP,XXXX
INFJ,XXXX
INFP,XXXX
ESTJ,XXXX
INTJ,XXXX
INFP,XXXX
INTP,XXXX
ISTP,XXXX
INTJ,XXXX
ISFJ,ISFJ
INTP,XXXX
INTP,INTJ
ENFP,XXXX
ENFP,XXXX
INFJ,XXXX
ENTP,XXXX
INFP,XXXX
INFP,INTJ
INFJ,INFJ
INTP,XXXX
ENTP,ENTJ
INFJ,INFP
INTJ,INTJ
INFP,INTJ
ENFP,ENTP
INTJ,INTJ
INTP,INTJ
ISTP,XXXX
INFP,XXXX
INTP,ENTJ
INFP,XXXX
INFJ,INTJ
INFP,XXXX
ISFP,INTJ
ENFP,INTJ
INFP,XXXX
INTJ,XXXX
ENTP,XXXX
ISTJ,XXXX
ISTP,XXXX
INTJ,XXXX
INTJ,XXXX
INFP,XXXX
INFP,XXXX
INTP,XXXX
ENFP,INTJ
INFP,XXXX
INTP,XXXX
INTJ,XXXX
ENFP,INTJ
INTJ,INTJ
ISTJ,XXXX
INTJ,INTJ
INFJ,INFJ
INFJ,ESTP
ESTP,XXXX
INFJ,INFJ
INFJ,ESTJ
INFJ,XXXX
INTJ,XXXX
INTP,INTJ
INFP,XXXX
INFP,XXXX
INFJ,INFJ
INTJ,INTJ
INTJ,ESFP
INTP,INTP
ENTP,XXXX
ENFP,XXXX
INTP,XXXX
INFP,XXXX
INFP,XXXX
ISFP,INFP
INFP,XXXX
INFP,XXXX
INTP,XXXX
INTP,INTJ
INTJ,XXXX
ENFP,XXXX
INFJ,XXXX
INFP,INTJ
INFP,XXXX
INFJ,XXXX
ENFP,INTJ
INTJ,XXXX
ENTP,XXXX
INTP,INTJ
ENTJ,ENTJ
ENTP,ENTP
INFP,INFP
ENFJ,INFP
ISTP,ENTJ
INFJ,INTJ
INFP,INTJ
ISTP,XXXX
ISTP,XXXX
INFJ,XXXX
