gender_true,gender_pred,mbti_true,mbti_pred
male,female,INFJ,INFP
female,female,INFJ,INFP
female,female,INFP,INFP
female,female,ENFP,INFP
male,female,ENTJ,INFP
female,female,INTJ,INFP
female,female,ESFJ,INFP
female,female,ENFJ,INFP
female,female,ESFJ,INFP
male,female,ENTP,INFP
male,female,ENTJ,INFP
female,female,ESFJ,INFP
female,female,ESFJ,INFP
female,female,INFJ,INFP
male,female,INFJ,INFP
male,female,ENTJ,INFP
male,female,INFP,INFP
male,female,INTJ,INFP
female,female,ESFJ,INFP
female,female,ISTJ,INFP
female,female,ISFJ,INFP
male,female,INFJ,INFP
female,female,ENFJ,INFP
male,female,INTJ,INFP
female,female,ESTP,INFP
female,female,ESFJ,INFP
female,female,ISFJ,INFP
female,female,ISFP,INFP
male,female,INTP,INFP
male,female,INTJ,INFP
female,female,ISTJ,INFP
female,female,ESFJ,INFP
female,female,ESFJ,INFP
female,female,ESFJ,INFP
female,female,INFP,INFP
female,female,ESTJ,INFP
male,female,ENTJ,INFP
female,female,ISFJ,INFP
male,female,INTJ,INFP
female,female,ISFJ,INFP
female,female,ESTJ,INFP
female,female,INTP,INFP
male,female,ENFJ,INFP
male,female,INTJ,INFP
female,female,ESFJ,INFP
female,female,ISTJ,INFP
female,female,ENFJ,INFP
female,female,ENFJ,INFP
female,female,ENFJ,INFP
female,female,ENFP,INFP
