type_true,type_pred
INFJ,INFJ
INFJ,INTJ
INFJ,INTJ
INFJ,INFJ
ENFP,ENFP
INTP,INTP
INFJ,INTJ
ENTP,INTJ
INFP,INTP
INFP,INFP
INTP,INTJ
INFP,INFP
INFJ,INFJ
INFP,INFP
ISTP,INTJ
INFP,INFP
ENTP,INTP
ISTP,INTP
INFJ,ESTP
INTJ,INTJ
INFP,INFP
ISFJ,INFP
ENFP,ENFP
INFP,INFP
INTJ,INTJ
ISTJ,INTP
ENTP,INTJ
INTJ,INTJ
INFP,INFP
INFP,INTJ
INFP,INTJ
INTJ,INTJ
INTJ,INTJ
ENTP,ENTP
ESTJ,ESTJ
INFP,INTJ
INTJ,INTJ
INFP,INFP
INFP,INFP
INTP,INTJ
INFP,INFP
ISFP,INTJ
ENTP,INTP
ISTP,ISTP
INFP,INFP
INFP,INTP
INFJ,INTJ
ENFP,ENFP
INFP,INFP
INFP,INFP
ENTJ,ENTJ
INFP,INFP
ISFJ,ISFJ
ISFJ,INTJ
ISFP,INFP
ENTP,ENTP
INTJ,INTJ
ENFP,ENFP
INTP,INTJ
INFJ,INFJ
ENTP,INTP
ENFP,ENFP
ISTP,ISTP
ESTP,ESTP
INFJ,INFP
ENFJ,INTP
INFJ,INTJ
INTP,INTP
INFP,INFP
INFJ,INTJ
ISFP,ISFP
ISTP,ISTP
INFP,INTJ
ISFP,ENFP
ISFP,ISFP
INFP,INFP
INTP,INTJ
INFJ,INFP
INFJ,INFJ
INFP,INFP
ISTP,INTJ
INTP,INTJ
INTJ,INTP
INTJ,INTJ
INFJ,INFP
INFP,INFP
INTJ,INTJ
ISFP,INTJ
INTJ,INTP
ENTP,ENTP
ISTP,INFP
ENFP,ENFP
ENFP,INFP
ISFP,INTJ
ISTP,ENFP
INTP,INTP
INFP,INFP
INTJ,INTJ
INTJ,INTJ
ENTP,INTP
ENTP,ENTP
ESFJ,INTJ
INTJ,INTP
ENFJ,ENFJ
INTP,INTP
INFP,INFP
INFJ,INTJ
ISFP,ISFP
ENTP,INTJ
INTP,INTJ
ENFP,ENFP
INTJ,INTJ
ENFP,INTP
INFJ,INFJ
INTJ,INTJ
INFJ,INFJ
INTJ,INTJ
ISTJ,ISTJ
ENFP,ENFP
ENTP,INTJ
INTJ,INTP
INTP,INTP
INFP,ENFP
INTJ,INTJ
INFJ,INTJ
ISFP,INFP
INTP,INTP
INTP,INTP
INFP,INTP
INTP,INTP
INFP,INFP
INFJ,INFP
ENTP,INTP
INFJ,INTJ
INTJ,INTJ
INFJ,INFP
ENTP,INTJ
INTP,INTP
ENFP,ENFP
INFJ,INTP
INFJ,INTJ
INTJ,INTJ
INFP,INFP
INFP,INFP
INFJ,INTJ
INFP,INTJ
INTP,INTP
INFJ,INTJ
INFP,INFP
ISFP,INFP
INFJ,INTP
INFP,INTP
INTJ,INTJ
INTP,ENTP
INTJ,INTP
INFP,INFP
ENFJ,INTJ
INTJ,INTJ
INTP,INTP
ENTP,ENTP
INFP,INFP
INFJ,INFJ
ISFP,ISFP
INFJ,INTJ
ENFP,ENFP
INTP,INTJ
INTJ,INTJ
ISTP,ISTP
ISFP,INTJ
ENTJ,INTJ
INFP,INTJ
ENFP,ENFP
INFJ,INFJ
ENFP,INFP
INTJ,INTJ
INFP,INTJ
INFP,INTJ
INFJ,INFJ
ENTP,ENTP
INTP,INTP
INFP,INTP
INTJ,INTP
ISTP,ISTP
ENTP,ENTP
ENFP,ENFP
INFJ,INTJ
INTP,INTP
INTP,INTJ
INFP,INFP
ENFP,INTP
INFP,INFP
ENFP,ENFP
INTP,INTJ
INTP,INTP
INFJ,INFJ
INFP,INFP
INTP,INTP
ISTJ,INTJ
INFJ,ENFJ
INFP,INTP
ENFP,ENFP
ISFJ,INFP
INTJ,INTP
INFP,INTP
INTP,INTJ
INFP,INTP
INFJ,INFJ
INTJ,INTJ
ISTP,INTP
INFJ,INFJ
INTJ,INTJ
ISTJ,INTJ
INTJ,INTJ
INTJ,INTJ
INFP,INFP
INFP,INTJ
INTJ,INTJ
INTJ,INTJ
INFP,INTJ
INTJ,INTJ
INFJ,INFJ
ENFJ,INFJ
INFP,INFP
INFP,INFP
ISTP,INTP
INFP,INTJ
ISFJ,INTP
INFP,INFP
INTP,INTJ
INFJ,INFJ
INFJ,INFJ
ENTP,INFP
ESTP,INTJ
INFP,INFP
INTP,INTP
INTP,INTJ
ISFJ,INFP
INFP,INTJ
INFP,INFP
ESTP,ESTJ
INTP,INTP
INFP,INFP
ENFP,ENFP
INTP,INTJ
ISTP,ISTP
INFP,INFP
INTJ,INTP
INTJ,INTJ
INTP,INTP
INFP,INFP
INFP,INFP
INTJ,INTJ
ISFJ,INTP
INFP,INFJ
INTJ,INFP
ISTJ,INTP
ENFP,INTP
ISFP,INTJ
INTP,INTP
INFJ,INFJ
INTP,INTP
INFP,INTP
ENTP,INTP
INFJ,INTP
INTJ,INTJ
INFP,INFP
INFJ,INTP
ISFJ,ISFJ
INFJ,INTJ
INFP,INFP
INTP,INTJ
INTJ,INTJ
ENFP,ENFP
INTJ,INTJ
INFJ,INTJ
ENTP,ENTP
ENTJ,ENTJ
ISTP,INTJ
INTJ,INTJ
ISFP,INFP
INFJ,INFJ
INFP,INTP
INFJ,INTP
ISTJ,INTJ
INFP,INFP
INFJ,INTJ
ENTJ,INTJ
ENFP,ENFP
INFJ,INFP
ENFP,ENFP
INTJ,INTJ
INTP,INTP
INFP,INFP
INFP,INTP
INTP,INTP
ENTP,INTP
ENTP,INTJ
INFP,INTJ
INFJ,INTP
ENTJ,ENTP
INFJ,INFP
INTP,INTJ
ENTP,ENTP
ENTJ,INTJ
ESFP,INFP
INFP,INFP
INFP,INTP
INFJ,INFJ
INTJ,INTJ
ENTJ,INTJ
INTP,INTP
INFJ,INFJ
INFJ,INFP
ISTP,INTP
ENFP,INFP
INTP,INTJ
INFP,INFP
ESTJ,INTJ
INFP,INTP
INTJ,INTJ
INTJ,INTJ
ENTJ,INTJ
INTP,INTP
INFP,INTJ
INTJ,INTP
ENTP,INTP
INTJ,INTJ
INTJ,INTJ
ENTJ,INTJ
ENTP,INTP
INTP,INTP
ENTP,INTP
INFP,INFP
ESFJ,ISFJ
ENTP,ENTP
INTP,INTP
ENFP,INTP
ENTP,ENTP
INFP,INTP
INFP,INTP
INTJ,INTJ
INTJ,INTJ
ISTJ,ISTJ
INFJ,INTP
ENFJ,ENFJ
INFJ,INTJ
INFP,INTP
INTP,INTP
INTP,INTP
INFJ,INTP
ENTJ,INTJ
INFJ,INTP
INTJ,INTJ
ENFP,INFP
INTJ,INTJ
INTP,INTP
ISFP,INFP
INTJ,INTJ
INTP,INTP
INFP,INFP
INTJ,INTJ
INTP,INTP
INFP,INFP
INTP,INTP
INFJ,INTJ
INFJ,INTP
ENFP,ENFP
INTP,INTP
INFJ,INTJ
ENFJ,INTP
INTP,INTP
INFJ,INFP
INFP,INFP
ISTP,ISTP
ISTP,INTP
INFJ,INTP
INTJ,INTJ
ISTJ,ISTJ
ESTP,INTP
INFP,INTP
INFJ,INTP
ISFP,ISFP
INFP,INFP
INFP,INFP
INFP,INFP
INFJ,INTP
INTJ,INTJ
INTP,INTJ
ISFJ,ISFP
INFP,INFP
ENTP,ENTP
INTP,INTP
ISFP,INFP
INTP,INTP
INFP,INFP
INTP,INTP
INTP,INTP
ESTP,ESTP
INFP,INFP
INTP,INTP
INTP,INTP
ISFP,INTP
INTP,INTJ
ENTP,INTJ
INFP,INTJ
ENFP,INTJ
ESFJ,ISFP
INFJ,INTJ
ENFP,INTJ
ENTJ,ENTJ
INTP,INTP
ENTP,INTJ
INFJ,INFJ
ENTP,INTP
ENTJ,ENTJ
ISTJ,ISTJ
ENFJ,INTJ
INFP,INFP
INTP,INTP
INTP,INTP
INTP,INTP
INFP,INTP
INTJ,INTJ
ISTP,ISTP
INTP,INFP
INTJ,INTJ
ENTP,INFJ
ENFJ,ENTJ
INFJ,INFJ
ENTJ,INFP
INTP,INTP
ISFP,ISFP
INTP,INTJ
INFJ,INFJ
ISTP,INTJ
INFP,INFP
ENFP,INFP
ENFP,INTJ
INFJ,INFJ
INTP,INFJ
INFJ,INTJ
ENTP,INTP
ENFP,INTJ
INFJ,INFJ
INFP,INFP
ESFP,INTJ
INTJ,INTJ
ISFJ,ISFJ
ISTJ,ISTJ
INFJ,INTP
INFP,INTJ
INTJ,INTJ
INFJ,INTP
INFP,INFP
INFP,INFP
INFJ,INFP
INTP,INTP
INFJ,INTP
ENTP,INTP
ENTP,ESFP
INTJ,INTJ
INTP,INTJ
ENTP,ENTP
ISTP,INTP
ENFP,ENFP
INTJ,INTJ
INTJ,INTJ
ENFP,ENFP
INTJ,INTJ
ENFP,ENFP
INFJ,INFJ
INFP,INTP
ENFP,INFP
INTJ,INTJ
ENFP,ENFP
INFJ,INFJ
INFP,INTP
INFJ,INFJ
INTP,INTP
INTJ,INTJ
