type_true,type_pred
INFP,XXXX
INTJ,XXXX
INFP,XXXX
ENFP,XXXX
INFJ,XXXX
INTJ,XXXX
INFP,XXXX
INFJ,XXXX
INTP,XXXX
ISTP,INFP
INTJ,XXXX
INFJ,XXXX
ENTP,XXXX
INTJ,INTJ
ENTJ,XXXX
INTJ,XXXX
INTJ,XXXX
ENTP,XXXX
ISTP,XXXX
INFJ,INFJ
ENFJ,XXXX
INTJ,XXXX
INFJ,XXXX
INTJ,XXXX
ENFJ,XXXX
ENTP,INTJ
ENTP,INTJ
ISTP,XXXX
INTP,XXXX
ENTJ,XXXX
INFJ,INTJ
INTP,INTP
ENTP,XXXX
INTP,XXXX
INTP,XXXX
INFP,XXXX
ISTP,XXXX
INFJ,XXXX
INFJ,INTJ
INTJ,XXXX
INFP,XXXX
ENFP,XXXX
INFJ,XXXX
INFJ,XXXX
ENFP,XXXX
ISTJ,XXXX
INFJ,INTJ
INFP,XXXX
INTP,ESTJ
INTP,INTJ
INTJ,INTJ
INFJ,XXXX
INFP,XXXX
INFJ,XXXX
INFP,XXXX
ISFJ,XXXX
INFP,XXXX
ENTJ,INTJ
INTJ,XXXX
INTP,XXXX
INFP,XXXX
ISFJ,XXXX
ISFP,XXXX
INFJ,XXXX
INFJ,XXXX
ISFP,XXXX
INFJ,XXXX
INTP,XXXX
INFJ,XXXX
ENTP,XXXX
INTJ,XXXX
ENFP,XXXX
ISTP,XXXX
INFP,XXXX
ESFP,INFJ
INTP,XXXX
INTJ,INTJ
ESFP,XXXX
INTJ,XXXX
INFP,XXXX
INTP,XXXX
INFP,XXXX
INFJ,XXXX
INFP,INFP
INFJ,XXXX
INTJ,XXXX
INTJ,XXXX
INTP,XXXX
ENFP,XXXX
ENTP,XXXX
INFJ,XXXX
INFJ,XXXX
INFP,INTP
ENTJ,XXXX
INFP,XXXX
INFJ,XXXX
INFP,XXXX
ENFP,XXXX
ENFP,XXXX
INFP,XXXX
ENTJ,XXXX
INFJ,INTJ
ENTP,XXXX
INTP,XXXX
INFJ,INTJ
INTP,XXXX
INTP,INTJ
INFP,XXXX
INFP,XXXX
INFJ,XXXX
INTP,XXXX
INFP,XXXX
ISFP,XXXX
INFJ,XXXX
ENTP,XXXX
INFJ,INTJ
ENFP,ENFP
INTP,XXXX
INTJ,INTJ
INFP,INFP
INTJ,XXXX
ENTP,XXXX
INFJ,XXXX
INFP,XXXX
INFP,XXXX
